# Correction file Goniospectrometer Mattias 2016-05-04
# Wavelength(nm)	Factor(a.u.)
195.640000000000	0.00135561917944072
196.110000000000	0.00102174139941780
196.580000000000	0.000840908077693940
197.050000000000	0.000729057080822365
197.520000000000	0.000655617093384038
197.990000000000	0.000605871176862129
198.460000000000	0.000573216740195310
198.920000000000	0.000549120045458369
199.390000000000	0.000533530611029978
199.860000000000	0.000539457510980585
200.330000000000	0.000592023112586742
200.800000000000	0.000657297381217237
201.270000000000	0.000736789960447242
201.730000000000	0.000831657524883455
202.200000000000	0.000945144207580143
202.670000000000	0.00107894573462722
203.140000000000	0.00121881508488623
203.610000000000	0.00139615665608166
204.070000000000	0.00160288940770083
204.540000000000	0.00184427109502500
205.010000000000	0.00213427877400012
205.480000000000	0.00245470154931747
205.950000000000	0.00280306115133585
206.410000000000	0.00313572150612255
206.880000000000	0.00346824538086294
207.350000000000	0.00379664944166976
207.820000000000	0.00413151192499313
208.280000000000	0.00462620404211677
208.750000000000	0.00495493227688920
209.220000000000	0.00531081980429204
209.690000000000	0.00568174154384229
210.150000000000	0.00604958612572841
210.620000000000	0.00645243958708771
211.090000000000	0.00682824371427482
211.560000000000	0.00723197923563101
212.020000000000	0.00767860587688768
212.490000000000	0.00821869046804146
212.960000000000	0.00880699719525913
213.420000000000	0.00935337309444727
213.890000000000	0.00992823733562771
214.360000000000	0.0105153566398577
214.830000000000	0.0110862829560728
215.290000000000	0.0116849058569681
215.760000000000	0.0122182442550911
216.230000000000	0.0128173452775269
216.690000000000	0.0133262541581004
217.160000000000	0.0138794115800887
217.630000000000	0.0144176169076637
218.090000000000	0.0149910166487524
218.560000000000	0.0157076827489789
219.030000000000	0.0165274978388230
219.490000000000	0.0172245673407169
219.960000000000	0.0178422013902246
220.420000000000	0.0185060914607606
220.890000000000	0.0191069283874835
221.360000000000	0.0198214323118115
221.820000000000	0.0207922702207337
222.290000000000	0.0216794535807636
222.760000000000	0.0226029171222199
223.220000000000	0.0233450855437160
223.690000000000	0.0243671489563599
224.150000000000	0.0251071956573648
224.620000000000	0.0260831250679308
225.090000000000	0.0271225101738813
225.550000000000	0.0282057784229295
226.020000000000	0.0295355201599403
226.480000000000	0.0302659497178065
226.950000000000	0.0313631523821838
227.410000000000	0.0322210316320269
227.880000000000	0.0335547096297685
228.350000000000	0.0351387593194294
228.810000000000	0.0363782134978940
229.280000000000	0.0376409638618162
229.740000000000	0.0388432329295742
230.210000000000	0.0406808015897621
230.670000000000	0.0416825727233984
231.140000000000	0.0433414031388272
231.600000000000	0.0455753838654323
232.070000000000	0.0469003298793227
232.530000000000	0.0487031245205097
233	0.0501704913735021
233.460000000000	0.0517117400474211
233.930000000000	0.0524154427360163
234.390000000000	0.0544379458204883
234.860000000000	0.0567802642922908
235.320000000000	0.0584027923974289
235.790000000000	0.0606292406067523
236.250000000000	0.0620975248678063
236.720000000000	0.0638603248828383
237.180000000000	0.0657114067846898
237.650000000000	0.0681218205996670
238.110000000000	0.0708093614748805
