# Python obtained correction file
#  T = 2945 K
# Wavelength(nm)	Corr.Factor
2.255500000000000114e+02 6.389531244468378557e-02
2.260200000000000102e+02 6.618324612277920460e-02
2.264799999999999898e+02 6.884056427552050217e-02
2.269499999999999886e+02 7.126693445262026472e-02
2.274099999999999966e+02 7.375714716885205247e-02
2.278799999999999955e+02 7.664328871387897368e-02
2.283499999999999943e+02 7.954779013169652191e-02
2.288100000000000023e+02 8.234751389031490232e-02
2.292800000000000011e+02 8.480883753911518108e-02
2.297400000000000091e+02 8.751881191767252322e-02
2.302100000000000080e+02 9.038843634222172574e-02
2.306699999999999875e+02 9.350979528561990939e-02
2.311399999999999864e+02 9.624897053555220294e-02
2.315999999999999943e+02 9.908171679864107018e-02
2.320699999999999932e+02 1.023086986840482104e-01
2.325300000000000011e+02 1.055089867307070217e-01
2.330000000000000000e+02 1.088900516909987320e-01
2.334600000000000080e+02 1.125801873830224731e-01
2.339300000000000068e+02 1.163900588807872533e-01
2.343899999999999864e+02 1.200965943066619190e-01
2.348600000000000136e+02 1.244478099000532051e-01
2.353199999999999932e+02 1.285098298331570077e-01
2.357899999999999920e+02 1.334405305755382298e-01
2.362500000000000000e+02 1.372674787783601802e-01
2.367199999999999989e+02 1.419409887191580011e-01
2.371800000000000068e+02 1.462823527258761969e-01
2.376500000000000057e+02 1.504832364739445982e-01
2.381100000000000136e+02 1.548482224799947737e-01
2.385800000000000125e+02 1.596427033512776428e-01
2.390399999999999920e+02 1.640757182893070598e-01
2.395099999999999909e+02 1.688716436630111062e-01
2.399699999999999989e+02 1.742427985223353459e-01
2.404399999999999977e+02 1.803364401965959207e-01
2.409000000000000057e+02 1.852012817261595723e-01
2.413600000000000136e+02 1.906286730211670388e-01
2.418300000000000125e+02 1.963004106647495417e-01
2.422899999999999920e+02 2.019593039546660196e-01
2.427599999999999909e+02 2.091233351061937140e-01
2.432199999999999989e+02 2.158124679112518596e-01
2.436800000000000068e+02 2.227305765287916350e-01
2.441500000000000057e+02 2.290027360511191767e-01
2.446100000000000136e+02 2.360432444282862807e-01
2.450800000000000125e+02 2.426157175846263558e-01
2.455399999999999920e+02 2.487402642875835290e-01
2.460000000000000000e+02 2.549527927182844711e-01
2.464699999999999989e+02 2.615438666415040303e-01
2.469300000000000068e+02 2.694308854227869254e-01
2.474000000000000057e+02 2.772137841176011142e-01
2.478600000000000136e+02 2.852439291627852369e-01
2.483199999999999932e+02 2.932494481993926372e-01
2.487899999999999920e+02 3.031776541789624746e-01
2.492500000000000000e+02 3.121464270754788495e-01
2.497100000000000080e+02 3.192574975461501263e-01
2.501800000000000068e+02 3.247672122548808105e-01
2.506399999999999864e+02 3.344198762008950832e-01
2.510999999999999943e+02 3.425260954815827485e-01
2.515699999999999932e+02 3.522570183627375950e-01
2.520300000000000011e+02 3.634325269253228519e-01
2.524900000000000091e+02 3.721742660395082058e-01
2.529600000000000080e+02 3.810421737586502933e-01
2.534199999999999875e+02 3.891036325345162972e-01
2.538799999999999955e+02 4.009568139411563981e-01
2.543499999999999943e+02 4.134219273813791173e-01
2.548100000000000023e+02 4.255092368044623985e-01
2.552700000000000102e+02 4.358612360430962895e-01
2.557299999999999898e+02 4.481342428776967091e-01
2.561999999999999886e+02 4.641179864828021140e-01
2.566600000000000250e+02 4.784783472154729433e-01
2.571200000000000045e+02 4.923869813365088222e-01
2.575799999999999841e+02 5.077509809739466640e-01
2.580500000000000114e+02 5.238359513104483556e-01
2.585099999999999909e+02 5.349719230748311016e-01
2.589700000000000273e+02 5.479980119909590996e-01
2.594300000000000068e+02 5.627474275676337401e-01
2.598999999999999773e+02 5.792176863946223442e-01
2.603600000000000136e+02 5.921765807736457665e-01
2.608199999999999932e+02 6.080494398104259179e-01
2.612799999999999727e+02 6.213298554657289419e-01
2.617500000000000000e+02 6.356087581087003224e-01
2.622099999999999795e+02 6.474968065445870780e-01
2.626700000000000159e+02 6.650836509588389234e-01
2.631299999999999955e+02 6.804721440883824135e-01
2.636000000000000227e+02 6.953349243453660344e-01
2.640600000000000023e+02 7.069079103501124672e-01
2.645199999999999818e+02 7.213398252267614330e-01
2.649800000000000182e+02 7.409880444553030854e-01
2.654399999999999977e+02 7.603578193528957030e-01
2.658999999999999773e+02 7.781818617740413613e-01
2.663700000000000045e+02 7.964644833008623914e-01
2.668299999999999841e+02 8.164667330905174270e-01
2.672900000000000205e+02 8.346368972878694947e-01
2.677500000000000000e+02 8.557598539946027483e-01
2.682099999999999795e+02 8.803355275087780818e-01
2.686700000000000159e+02 9.036150066601389419e-01
2.691399999999999864e+02 9.225206538407794143e-01
2.696000000000000227e+02 9.453992162157397461e-01
2.700600000000000023e+02 9.652742139541455879e-01
2.705199999999999818e+02 9.841720681180436969e-01
2.709800000000000182e+02 1.010025740033540176e+00
2.714399999999999977e+02 1.030562107042008568e+00
2.718999999999999773e+02 1.055445610164065684e+00
2.723700000000000045e+02 1.072115644114479016e+00
2.728299999999999841e+02 1.098481379000071811e+00
2.732900000000000205e+02 1.127562945313842713e+00
2.737500000000000000e+02 1.155251816976661017e+00
2.742099999999999795e+02 1.185917851044902882e+00
2.746700000000000159e+02 1.216441060450874412e+00
2.751299999999999955e+02 1.250633990036760013e+00
2.755899999999999750e+02 1.274017240029486464e+00
2.760500000000000114e+02 1.302897867012107413e+00
2.765099999999999909e+02 1.331300621774136994e+00
2.769700000000000273e+02 1.366201809822596092e+00
2.774300000000000068e+02 1.393535616386141429e+00
2.778999999999999773e+02 1.425532657977561124e+00
2.783600000000000136e+02 1.451540537834224764e+00
2.788199999999999932e+02 1.482420618907351662e+00
2.792799999999999727e+02 1.512634686868196132e+00
2.797400000000000091e+02 1.538495505272106101e+00
2.801999999999999886e+02 1.576813819084639912e+00
2.806600000000000250e+02 1.610986299501812047e+00
2.811200000000000045e+02 1.640471890644218833e+00
2.815799999999999841e+02 1.668355871589268347e+00
2.820400000000000205e+02 1.709323699039772881e+00
2.825000000000000000e+02 1.738597426527404899e+00
2.829599999999999795e+02 1.773612207675829833e+00
2.834200000000000159e+02 1.812670621524693937e+00
2.838799999999999955e+02 1.850811265172050746e+00
2.843399999999999750e+02 1.880811696113551035e+00
2.848000000000000114e+02 1.905402420015853693e+00
2.852599999999999909e+02 1.947765458565459129e+00
2.857200000000000273e+02 1.984171431397443675e+00
2.861800000000000068e+02 2.019538827115077151e+00
2.866399999999999864e+02 2.052598163891126593e+00
2.871000000000000227e+02 2.096000039962663486e+00
2.875600000000000023e+02 2.138965506254112636e+00
2.880199999999999818e+02 2.170068755022141360e+00
2.884800000000000182e+02 2.210636104642667021e+00
2.889399999999999977e+02 2.239100908465818662e+00
2.893899999999999864e+02 2.290475686928384214e+00
2.898500000000000227e+02 2.330729564394789843e+00
2.903100000000000023e+02 2.369850863715768696e+00
2.907699999999999818e+02 2.412032644589076735e+00
2.912300000000000182e+02 2.464848619090197257e+00
2.916899999999999977e+02 2.508069800504770352e+00
2.921499999999999773e+02 2.570280329138598052e+00
2.926100000000000136e+02 2.610022844044915136e+00
2.930699999999999932e+02 2.653579520277720594e+00
2.935299999999999727e+02 2.710527211251654744e+00
2.939900000000000091e+02 2.771348551128909765e+00
2.944399999999999977e+02 2.828133194842598286e+00
2.948999999999999773e+02 2.874678716508328069e+00
