# Python obtained correction file
#  T = 2945 K
# Wavelength(nm)	Corr.Factor
2.399699999999999989e+02 2.195877662873703673e-01
2.404399999999999977e+02 2.267752014497858848e-01
2.409000000000000057e+02 2.333729645611871961e-01
2.413600000000000136e+02 2.407096570923832612e-01
2.418300000000000125e+02 2.470386609342447581e-01
2.422899999999999920e+02 2.539716152281927264e-01
2.427599999999999909e+02 2.605909007225869489e-01
2.432199999999999989e+02 2.677425368374078962e-01
2.436800000000000068e+02 2.743305393248299806e-01
2.441500000000000057e+02 2.820237494068731365e-01
2.446100000000000136e+02 2.908815948532840201e-01
2.450800000000000125e+02 2.991807427324744695e-01
2.455399999999999920e+02 3.070522390668789514e-01
2.460000000000000000e+02 3.158144339074538398e-01
2.464699999999999989e+02 3.239400669296315649e-01
2.469300000000000068e+02 3.335993835337421332e-01
2.474000000000000057e+02 3.436773235755073985e-01
2.478600000000000136e+02 3.540496201692386880e-01
2.483199999999999932e+02 3.640062420505808527e-01
2.487899999999999920e+02 3.745053014659848745e-01
2.492500000000000000e+02 3.848428688081670379e-01
2.497100000000000080e+02 3.956119994208288082e-01
2.501800000000000068e+02 4.066893242560922772e-01
2.506399999999999864e+02 4.184796794295421174e-01
2.510999999999999943e+02 4.283518779703757717e-01
2.515699999999999932e+02 4.400608586144424406e-01
2.520300000000000011e+02 4.503931488811562800e-01
2.524900000000000091e+02 4.614023809288430034e-01
2.529600000000000080e+02 4.734846282804424100e-01
2.534199999999999875e+02 4.852066070508797568e-01
2.538799999999999955e+02 4.973163933928409497e-01
2.543499999999999943e+02 5.100251211161850318e-01
2.548100000000000023e+02 5.238033627822955562e-01
2.552700000000000102e+02 5.362434792399500827e-01
2.557299999999999898e+02 5.490023149443854500e-01
2.561999999999999886e+02 5.650383363367210698e-01
2.566600000000000250e+02 5.798981321073989337e-01
2.571200000000000045e+02 5.951956388676326037e-01
2.575799999999999841e+02 6.107247491207594692e-01
2.580500000000000114e+02 6.277429250680774953e-01
2.585099999999999909e+02 6.426707526029815654e-01
2.589700000000000273e+02 6.585228291505731413e-01
2.594300000000000068e+02 6.762509289142065727e-01
2.598999999999999773e+02 6.923522251438628539e-01
2.603600000000000136e+02 7.071591866151448746e-01
2.608199999999999932e+02 7.239405329707166992e-01
2.612799999999999727e+02 7.404746194018477778e-01
2.617500000000000000e+02 7.567397787036819201e-01
2.622099999999999795e+02 7.741282826505864190e-01
2.626700000000000159e+02 7.923423795926596291e-01
2.631299999999999955e+02 8.128091282082755553e-01
2.636000000000000227e+02 8.322156586714685167e-01
2.640600000000000023e+02 8.507494049239929801e-01
2.645199999999999818e+02 8.683819779764609947e-01
2.649800000000000182e+02 8.861480490035533730e-01
2.654399999999999977e+02 9.088025431054658210e-01
2.658999999999999773e+02 9.284560983060802242e-01
2.663700000000000045e+02 9.517351372870548332e-01
2.668299999999999841e+02 9.733683546028901734e-01
2.672900000000000205e+02 9.961004320787937294e-01
2.677500000000000000e+02 1.016907237283771970e+00
2.682099999999999795e+02 1.040325501089250704e+00
2.686700000000000159e+02 1.063031251573604230e+00
2.691399999999999864e+02 1.082939665599150114e+00
2.696000000000000227e+02 1.105077112770162628e+00
2.700600000000000023e+02 1.129537758894403332e+00
2.705199999999999818e+02 1.154560753812643892e+00
2.709800000000000182e+02 1.179523493892189689e+00
2.714399999999999977e+02 1.206083621627045188e+00
2.718999999999999773e+02 1.233508217130239171e+00
2.723700000000000045e+02 1.260316730665276719e+00
2.728299999999999841e+02 1.286124077699707158e+00
2.732900000000000205e+02 1.314279002779023209e+00
2.737500000000000000e+02 1.342873327381725934e+00
2.742099999999999795e+02 1.371260538630281189e+00
2.746700000000000159e+02 1.402071071930159674e+00
2.751299999999999955e+02 1.432224085228668065e+00
2.755899999999999750e+02 1.463794959422912267e+00
2.760500000000000114e+02 1.494611255477319878e+00
2.765099999999999909e+02 1.526661703357672817e+00
2.769700000000000273e+02 1.559414200978879173e+00
2.774300000000000068e+02 1.593341573952278711e+00
2.778999999999999773e+02 1.626857303033440560e+00
2.783600000000000136e+02 1.661041353305834800e+00
2.788199999999999932e+02 1.696903632409546336e+00
2.792799999999999727e+02 1.730248354568687530e+00
2.797400000000000091e+02 1.762262294564008736e+00
2.801999999999999886e+02 1.794793498329998904e+00
2.806600000000000250e+02 1.824031712673448435e+00
2.811200000000000045e+02 1.861466273729031728e+00
2.815799999999999841e+02 1.893930541011078716e+00
2.820400000000000205e+02 1.930175219111964546e+00
2.825000000000000000e+02 1.964714367872865131e+00
2.829599999999999795e+02 1.996434746379025071e+00
2.834200000000000159e+02 2.032957044839104555e+00
2.838799999999999955e+02 2.068442161598924134e+00
2.843399999999999750e+02 2.106980962771876964e+00
2.848000000000000114e+02 2.144073990242941541e+00
2.852599999999999909e+02 2.188165073332340338e+00
